run_key,seed,epoch,metric,value
no_gate_config2_L4,42,5,val_loss_no_gate,4.9739330421059815
no_gate_config2_L4,42,0,train_ppl_no_gate,347.68689524006055
no_gate_config2_L4,42,1,train_ppl_no_gate,130.87387150646654
no_gate_config2_L4,42,2,train_ppl_no_gate,81.53835446066378
no_gate_config2_L4,42,3,train_ppl_no_gate,57.64876152956203
no_gate_config2_L4,42,4,train_ppl_no_gate,43.41738702233177
no_gate_config2_L4,42,5,train_ppl_no_gate,34.0757195628192
no_gate_config2_L4,42,0,val_ppl_no_gate,199.37145059115508
no_gate_config2_L4,42,1,val_ppl_no_gate,145.07394515820988
no_gate_config2_L4,42,2,val_ppl_no_gate,132.95274221271862
no_gate_config2_L4,42,3,val_ppl_no_gate,130.7998418842128
no_gate_config2_L4,42,4,val_ppl_no_gate,133.82471240286293
no_gate_config2_L4,42,5,val_ppl_no_gate,144.59446660821402
no_gate_config2_L4,113,0,train_loss_no_gate,5.8555373352462965
no_gate_config2_L4,113,1,train_loss_no_gate,4.8826701329168625
no_gate_config2_L4,113,2,train_loss_no_gate,4.41129460905568
no_gate_config2_L4,113,3,train_loss_no_gate,4.065784656900471
no_gate_config2_L4,113,4,train_loss_no_gate,3.7852830023078594
no_gate_config2_L4,113,5,train_loss_no_gate,3.541640304155269
no_gate_config2_L4,113,0,val_loss_no_gate,5.307653673624588
no_gate_config2_L4,113,1,val_loss_no_gate,4.995539756144508
no_gate_config2_L4,113,2,val_loss_no_gate,4.902142922757036
no_gate_config2_L4,113,3,val_loss_no_gate,4.877768751928362
no_gate_config2_L4,113,4,val_loss_no_gate,4.927066548395965
no_gate_config2_L4,113,5,val_loss_no_gate,4.9812968504630915
no_gate_config2_L4,113,0,train_ppl_no_gate,349.1624669564981
no_gate_config2_L4,113,1,train_ppl_no_gate,131.98260490989665
no_gate_config2_L4,113,2,train_ppl_no_gate,82.37603926874993
no_gate_config2_L4,113,3,train_ppl_no_gate,58.310644426229125
no_gate_config2_L4,113,4,train_ppl_no_gate,44.048134518727714
no_gate_config2_L4,113,5,train_ppl_no_gate,34.52350181529571
no_gate_config2_L4,113,0,val_ppl_no_gate,201.8760052688758
no_gate_config2_L4,113,1,val_ppl_no_gate,147.75267427826583
no_gate_config2_L4,113,2,val_ppl_no_gate,134.57786086747873
no_gate_config2_L4,113,3,val_ppl_no_gate,131.33729063682702
no_gate_config2_L4,113,4,val_ppl_no_gate,137.97417754318974
no_gate_config2_L4,113,5,val_ppl_no_gate,145.6631625566682
no_gate_config2_L4,192,0,train_loss_no_gate,5.854427115644439
no_gate_config2_L4,192,1,train_loss_no_gate,4.883458737094523
no_gate_config2_L4,192,2,train_loss_no_gate,4.41098735771947
no_gate_config2_L4,192,3,train_loss_no_gate,4.067398448111647
no_gate_config2_L4,192,4,train_loss_no_gate,3.7863654040936696
no_gate_config2_L4,192,5,train_loss_no_gate,3.5443607327544084
no_gate_config2_L4,192,0,val_loss_no_gate,5.291356524168434
no_gate_config2_L4,192,1,val_loss_no_gate,4.98015902001979
no_gate_config2_L4,192,2,val_loss_no_gate,4.880230257066629
no_gate_config2_L4,192,3,val_loss_no_gate,4.870120686999822
no_gate_config2_L4,192,4,val_loss_no_gate,4.89640158212791
no_gate_config2_L4,192,5,val_loss_no_gate,4.987856321415658
no_gate_config2_L4,192,0,train_ppl_no_gate,348.7750350484948
no_gate_config2_L4,192,1,train_ppl_no_gate,132.0867279940606
